date;Marketcap
2017-01-01;18279000000
2017-01-02;18723000000
2017-01-03;19055000000
2017-01-04;20835000000
2017-01-05;18035000000
2017-01-06;16911000000
2017-01-07;16839000000
2017-01-08;16834000000
2017-01-09;16834000000
2017-01-10;17108000000
2017-01-11;15073000000
2017-01-12;15341000000
2017-01-13;15609000000
2017-01-14;15703000000
2017-01-15;15533000000
2017-01-16;15762000000
2017-01-17;17051000000
2017-01-18;16494000000
2017-01-19;17030000000
2017-01-20;16986000000
2017-01-21;17408000000
2017-01-22;17313000000
2017-01-23;17438000000
2017-01-24;17214000000
2017-01-25;17033000000
2017-01-26;17334000000
2017-01-27;17395000000
2017-01-28;17454000000
2017-01-29;17454000000
2017-01-30;17493000000
2017-01-31;18146000000
2017-02-01;18543000000
2017-02-02;18941000000
2017-02-03;19323000000
2017-02-04;19678000000
2017-02-05;19343000000
2017-02-06;19571000000
2017-02-07;19940000000
2017-02-08;20100000000
2017-02-09;18150000000
2017-02-10;18547000000
2017-02-11;19052000000
2017-02-12;18899000000
2017-02-13;18770000000
2017-02-14;19095000000
2017-02-15;19189000000
2017-02-16;19592000000
2017-02-17;19825000000
2017-02-18;19992000000
2017-02-19;19828000000
2017-02-20;20029000000
2017-02-21;20750000000
2017-02-22;20755000000
2017-02-23;21270000000
2017-02-24;21625000000
2017-02-25;21879000000
2017-02-26;21746000000
2017-02-27;22008000000
2017-02-28;22191000000
2017-03-01;22510000000
2017-03-02;23418000000
2017-03-03;24511000000
2017-03-04;24373000000
2017-03-05;23857000000
2017-03-06;24431000000
2017-03-07;23241000000
2017-03-08;23180000000
2017-03-09;22418000000
2017-03-10;22957000000
2017-03-11;22965000000
2017-03-12;23403000000
2017-03-13;24905000000
2017-03-14;25092000000
2017-03-15;25510000000
2017-03-16;26441000000
2017-03-17;25736000000
2017-03-18;24461000000
2017-03-19;22646000000
2017-03-20;24269000000
2017-03-21;24754000000
2017-03-22;24150000000
2017-03-23;23962000000
2017-03-24;23540000000
2017-03-25;22427000000
2017-03-26;23590000000
2017-03-27;24004000000
2017-03-28;24839000000
2017-03-29;25020000000
2017-03-30;24879000000
2017-03-31;25308000000
2017-04-01;26024000000
2017-04-02;26729000000
2017-04-03;27550000000
2017-04-04;26892000000
2017-04-05;27186000000
2017-04-06;27449000000
2017-04-07;27410000000
2017-04-08;27958000000
2017-04-09;27648000000
2017-04-10;27813000000
2017-04-11;28033000000
2017-04-12;28257000000
2017-04-13;28635000000
2017-04-14;28156000000
2017-04-15;28716000000
2017-04-16;28774000000
2017-04-17;28683000000
2017-04-18;29522000000
2017-04-19;29617000000
2017-04-20;29451000000
2017-04-21;29690000000
2017-04-22;29751000000
2017-04-23;29785000000
2017-04-24;30028000000
2017-04-25;30924000000
2017-04-26;31470000000
2017-04-27;32499000000
2017-04-28;33370000000
2017-04-29;34970000000
2017-04-30;35441000000
2017-05-01;37770000000
2017-05-02;38281000000
2017-05-03;39080000000
2017-05-04;42347000000
2017-05-05;46486000000
2017-05-06;45471000000
2017-05-07;47448000000
2017-05-08;52306000000
2017-05-09;52345000000
2017-05-10;52291000000
2017-05-11;53927000000
2017-05-12;54834000000
2017-05-13;53742000000
